Ano,Quantidade,Acumulado
1982,4,4
1986,4,8
1988,1,9
1989,4,13
1990,113,126
1991,7,133
1994,3,136
1995,12,148
1996,16,164
1997,31,195
1998,31,226
1999,24,250
2000,35,285
2001,29,314
2002,48,362
2003,38,400
2004,26,426
2005,21,447
2006,147,594
2007,135,729
2008,82,811
2009,27,838
2010,101,939
2011,100,1039
2012,153,1192
2013,523,1715
2014,25,1740
2015,59,1799
2016,32,1831
2017,10,1841
2018,76,1917
2019,326,2243
2020,26,2269
2021,234,2503
2022,818,3321
2023,1233,4554
2024,8,4562
